"NO.","FUNC","DATA","UNIT","TIME"
299,"TYPE T","OL/99.9","K","2024/10/25\12:33:56"
300,"TYPE T","OL/99.9","K","2024/10/25\12:33:57"
301,"TYPE T","OL/99.9","K","2024/10/25\12:33:57"
302,"TYPE T","OL/99.9","K","2024/10/25\12:33:58"
303,"TYPE T","OL/99.9","K","2024/10/25\12:33:58"
304,"TYPE T","OL/99.9","K","2024/10/25\12:33:59"
305,"TYPE T","OL/99.9","K","2024/10/25\12:33:59"
306,"TYPE T","OL/99.9","K","2024/10/25\12:34:00"
307,"TYPE T","OL/99.9","K","2024/10/25\12:34:01"
308,"TYPE T","OL/99.8","K","2024/10/25\12:34:01"
309,"TYPE T","OL/99.8","K","2024/10/25\12:34:02"
310,"TYPE T","OL/99.8","K","2024/10/25\12:34:02"
311,"TYPE T","OL/99.8","K","2024/10/25\12:34:03"
312,"TYPE T","OL/99.8","K","2024/10/25\12:34:04"
313,"TYPE T","OL/99.8","K","2024/10/25\12:34:04"
314,"TYPE T","OL/99.8","K","2024/10/25\12:34:05"
315,"TYPE T","OL/99.7","K","2024/10/25\12:34:05"
316,"TYPE T","OL/99.7","K","2024/10/25\12:34:06"
317,"TYPE T","OL/99.7","K","2024/10/25\12:34:07"
318,"TYPE T","OL/99.7","K","2024/10/25\12:34:07"
319,"TYPE T","OL/99.7","K","2024/10/25\12:34:08"
320,"TYPE T","OL/99.6","K","2024/10/25\12:34:08"
321,"TYPE T","OL/99.6","K","2024/10/25\12:34:09"
322,"TYPE T","OL/99.5","K","2024/10/25\12:34:10"
323,"TYPE T","OL/99.5","K","2024/10/25\12:34:10"
324,"TYPE T","OL/99.5","K","2024/10/25\12:34:11"
325,"TYPE T","OL/99.5","K","2024/10/25\12:34:11"
326,"TYPE T","OL/99.5","K","2024/10/25\12:34:12"
327,"TYPE T","OL/99.4","K","2024/10/25\12:34:13"
328,"TYPE T","OL/99.5","K","2024/10/25\12:34:13"
329,"TYPE T","OL/99.5","K","2024/10/25\12:34:14"
330,"TYPE T","OL/99.5","K","2024/10/25\12:34:14"
331,"TYPE T","OL/99.4","K","2024/10/25\12:34:15"
332,"TYPE T","OL/99.4","K","2024/10/25\12:34:16"
333,"TYPE T","OL/99.4","K","2024/10/25\12:34:16"
334,"TYPE T","OL/99.3","K","2024/10/25\12:34:17"
335,"TYPE T","OL/99.3","K","2024/10/25\12:34:17"
336,"TYPE T","OL/99.3","K","2024/10/25\12:34:18"
337,"TYPE T","OL/99.3","K","2024/10/25\12:34:19"
338,"TYPE T","OL/99.3","K","2024/10/25\12:34:19"
339,"TYPE T","OL/99.3","K","2024/10/25\12:34:20"
340,"TYPE T","OL/99.3","K","2024/10/25\12:34:20"
341,"TYPE T","OL/99.3","K","2024/10/25\12:34:21"
342,"TYPE T","OL/99.2","K","2024/10/25\12:34:21"
343,"TYPE T","OL/99.2","K","2024/10/25\12:34:22"
344,"TYPE T","OL/99.2","K","2024/10/25\12:34:23"
345,"TYPE T","OL/99.2","K","2024/10/25\12:34:23"
346,"TYPE T","OL/99.2","K","2024/10/25\12:34:24"
347,"TYPE T","OL/99.2","K","2024/10/25\12:34:24"
348,"TYPE T","OL/99.1","K","2024/10/25\12:34:25"
349,"TYPE T","OL/99.1","K","2024/10/25\12:34:26"
350,"TYPE T","OL/99.0","K","2024/10/25\12:34:26"
351,"TYPE T","OL/99.0","K","2024/10/25\12:34:27"
352,"TYPE T","OL/99.0","K","2024/10/25\12:34:27"
353,"TYPE T","OL/98.9","K","2024/10/25\12:34:28"
354,"TYPE T","OL/98.9","K","2024/10/25\12:34:29"
355,"TYPE T","OL/98.9","K","2024/10/25\12:34:29"
356,"TYPE T","OL/99.0","K","2024/10/25\12:34:30"
357,"TYPE T","OL/99.0","K","2024/10/25\12:34:30"
358,"TYPE T","OL/99.0","K","2024/10/25\12:34:31"
359,"TYPE T","OL/98.9","K","2024/10/25\12:34:32"
360,"TYPE T","OL/98.9","K","2024/10/25\12:34:32"
361,"TYPE T","OL/99.0","K","2024/10/25\12:34:33"
362,"TYPE T","OL/99.0","K","2024/10/25\12:34:33"
363,"TYPE T","OL/99.0","K","2024/10/25\12:34:34"
364,"TYPE T","OL/98.9","K","2024/10/25\12:34:35"
365,"TYPE T","OL/98.9","K","2024/10/25\12:34:35"
366,"TYPE T","OL/98.9","K","2024/10/25\12:34:36"
367,"TYPE T","OL/98.9","K","2024/10/25\12:34:36"
368,"TYPE T","OL/98.9","K","2024/10/25\12:34:37"
369,"TYPE T","OL/98.9","K","2024/10/25\12:34:38"
370,"TYPE T","OL/98.9","K","2024/10/25\12:34:38"
371,"TYPE T","OL/98.9","K","2024/10/25\12:34:39"
372,"TYPE T","OL/98.9","K","2024/10/25\12:34:39"
373,"TYPE T","OL/98.9","K","2024/10/25\12:34:40"
374,"TYPE T","OL/98.9","K","2024/10/25\12:34:40"
375,"TYPE T","OL/98.9","K","2024/10/25\12:34:41"
376,"TYPE T","OL/98.8","K","2024/10/25\12:34:42"
377,"TYPE T","OL/98.8","K","2024/10/25\12:34:42"
378,"TYPE T","OL/98.7","K","2024/10/25\12:34:43"
379,"TYPE T","OL/98.7","K","2024/10/25\12:34:43"
380,"TYPE T","OL/98.7","K","2024/10/25\12:34:44"
381,"TYPE T","OL/98.6","K","2024/10/25\12:34:45"
382,"TYPE T","OL/98.6","K","2024/10/25\12:34:45"
383,"TYPE T","OL/98.6","K","2024/10/25\12:34:46"
384,"TYPE T","OL/98.6","K","2024/10/25\12:34:46"
385,"TYPE T","OL/98.5","K","2024/10/25\12:34:47"
386,"TYPE T","OL/98.6","K","2024/10/25\12:34:48"
