2024-10-25,11:29:22,Sample Rate(S):,0.500
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
-3.7839600000e-08,-3.5066600000e-08,5.1590200000e-08,-1.3717800000e+02,5.1660000000e+03,5.8259100000e-09,5.1454000000e-08,-6.4501200000e-09,5.1857000000e-08,-6.6490000000e+00,5.1835800000e-08,5.3543200000e-09,5.2395700000e-08,6.1290000000e+00,2.0890000000e+00,2.0900000000e+00,2.0880000000e+00,2.0880000000e+00
-8.1832100000e-09,-1.5527000000e-08,1.7563300000e-08,-1.1779100000e+02,5.1660000000e+03,6.5569200000e-09,1.7283100000e-08,1.1992900000e-09,1.7579600000e-08,-3.3200000000e+00,1.7341900000e-08,2.8169300000e-09,1.8265800000e-08,2.9640000000e+00,2.0880000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-4.6828200000e-08,-8.7934200000e-09,4.7646900000e-08,-1.6936500000e+02,5.1660000000e+03,6.8698300000e-09,3.4343000000e-08,-3.0322200000e-08,4.4667200000e-08,-4.1879000000e+01,3.8940200000e-08,-2.1881500000e-08,4.3334200000e-08,-2.9582000000e+01,2.0880000000e+00,2.0870000000e+00,2.0830000000e+00,2.0770000000e+00
3.2027700000e-08,3.1408000000e-08,4.4858500000e-08,4.4440000000e+01,5.1660000000e+03,6.9880800000e-09,-4.5826000000e-08,4.2527600000e-09,4.6023500000e-08,1.7572200000e+02,-4.6478800000e-08,-6.7545700000e-09,4.6967700000e-08,-1.7063600000e+02,2.0870000000e+00,2.0890000000e+00,2.0880000000e+00,2.0870000000e+00
3.1597000000e-10,6.3862100000e-09,6.4075000000e-09,8.7167000000e+01,5.1660000000e+03,7.5107000000e-09,-4.3504100000e-09,-1.4758400000e-09,3.5703100000e-09,1.6516900000e+02,-3.4914400000e-09,1.3906500000e-10,4.0277400000e-09,1.3769200000e+02,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
1.9658100000e-08,8.3907600000e-09,2.1374900000e-08,2.3115000000e+01,5.1660000000e+03,6.4146200000e-09,-2.0818500000e-08,9.7994000000e-09,2.3009700000e-08,1.5521500000e+02,-2.3072700000e-08,5.0046500000e-09,2.3949000000e-08,1.6795100000e+02,2.0870000000e+00,2.0870000000e+00,2.0860000000e+00,2.0830000000e+00
1.7471300000e-08,2.3707100000e-08,2.9450300000e-08,5.3611000000e+01,5.1660000000e+03,5.0759800000e-09,-3.1634200000e-08,4.1246400000e-11,3.1635100000e-08,1.7838500000e+02,-3.2023500000e-08,-6.1846700000e-09,3.2616300000e-08,-1.7069900000e+02,2.0880000000e+00,2.0890000000e+00,2.0840000000e+00,2.0870000000e+00
-1.5767800000e-08,2.6910100000e-08,3.1192300000e-08,1.2036800000e+02,5.1660000000e+03,5.8422900000e-09,-1.2585000000e-08,-2.9749300000e-08,3.3278400000e-08,-1.1532000000e+02,-7.3573000000e-09,-3.2453000000e-08,3.4678600000e-08,-1.0687800000e+02,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
9.8030800000e-09,-1.5118600000e-08,1.8020600000e-08,-5.7040000000e+01,5.1660000000e+03,7.0636500000e-09,6.4282100000e-09,1.6686400000e-08,1.7884900000e-08,5.9330000000e+01,5.5163700000e-09,1.6853300000e-08,1.7835400000e-08,6.5940000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-6.6787100000e-09,1.8313500000e-08,1.9496700000e-08,1.1003600000e+02,5.1660000000e+03,6.4784700000e-09,-8.1434800000e-09,-1.6303000000e-08,1.6887100000e-08,-1.1155800000e+02,-2.6441800000e-09,-1.6672200000e-08,1.5516800000e-08,-9.2850000000e+01,2.0890000000e+00,2.0890000000e+00,2.0870000000e+00,2.0870000000e+00
3.2788700000e-08,-1.8087600000e-08,3.7447000000e-08,-2.8883000000e+01,5.1660000000e+03,7.8092900000e-09,-6.9198100000e-09,3.5064200000e-08,3.5740900000e-08,1.0238200000e+02,-1.4319900000e-08,3.0809200000e-08,3.0339800000e-08,1.1935300000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-4.7310900000e-09,2.0766600000e-09,5.1677400000e-09,1.5630100000e+02,5.1660000000e+03,9.5366100000e-09,1.3059600000e-09,-3.4566000000e-09,1.3062500000e-09,-2.0469000000e+01,1.2385500000e-09,1.1335800000e-09,1.4830300000e-09,5.1299000000e+01,2.0880000000e+00,2.0900000000e+00,2.0880000000e+00,2.0880000000e+00
1.0017800000e-10,2.9259300000e-09,2.9293600000e-09,9.6918000000e+01,5.1660000000e+03,8.5947700000e-09,-1.0913800000e-09,-1.1388700000e-09,8.9030800000e-10,3.0196000000e+01,6.4738100000e-10,1.6011800000e-09,1.9537300000e-09,5.5092000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-2.2169300000e-09,-1.0101100000e-08,1.0344200000e-08,-9.7772000000e+01,5.1660000000e+03,6.4020800000e-09,8.1621400000e-09,5.0050700000e-09,7.4274400000e-09,4.3442000000e+01,4.1513800000e-09,6.1515200000e-09,6.1720600000e-09,6.5931000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-3.5825400000e-09,-1.5116100000e-08,1.5535100000e-08,-1.0333300000e+02,5.1660000000e+03,6.5151800000e-09,1.3996600000e-08,5.8409200000e-09,1.5025700000e-08,2.0248000000e+01,1.2629900000e-08,8.1375900000e-09,1.4907600000e-08,2.9821000000e+01,2.0870000000e+00,2.0890000000e+00,2.0850000000e+00,2.0830000000e+00
3.1784100000e-08,-2.3299200000e-08,3.9409600000e-08,-3.6243000000e+01,5.1660000000e+03,6.6578400000e-09,-1.4890300000e-09,3.9197500000e-08,3.7732700000e-08,9.0616000000e+01,-8.5915700000e-09,3.6741400000e-08,3.6549000000e-08,1.0243600000e+02,2.0860000000e+00,2.0880000000e+00,2.0840000000e+00,2.0790000000e+00
2.9362000000e-08,1.1406100000e-08,3.1502900000e-08,2.4035000000e+01,5.1660000000e+03,6.8377600000e-09,-2.9463700000e-08,1.4803700000e-08,3.4329300000e-08,1.5599400000e+02,-3.3641800000e-08,6.8199400000e-09,3.5595100000e-08,1.7116500000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
