"NO.","FUNC","DATA","UNIT","TIME"
275,"TYPE T","OL/300.3","K","2024/10/25\9:10:22"
276,"TYPE T","OL/300.3","K","2024/10/25\9:10:22"
277,"TYPE T","OL/300.3","K","2024/10/25\9:10:23"
278,"TYPE T","OL/300.3","K","2024/10/25\9:10:23"
279,"TYPE T","OL/300.3","K","2024/10/25\9:10:24"
280,"TYPE T","OL/300.3","K","2024/10/25\9:10:25"
281,"TYPE T","OL/300.3","K","2024/10/25\9:10:25"
282,"TYPE T","OL/300.3","K","2024/10/25\9:10:26"
283,"TYPE T","OL/300.3","K","2024/10/25\9:10:26"
284,"TYPE T","OL/300.3","K","2024/10/25\9:10:27"
285,"TYPE T","OL/300.3","K","2024/10/25\9:10:28"
286,"TYPE T","OL/300.3","K","2024/10/25\9:10:28"
287,"TYPE T","OL/300.3","K","2024/10/25\9:10:29"
288,"TYPE T","OL/300.2","K","2024/10/25\9:10:29"
289,"TYPE T","OL/300.3","K","2024/10/25\9:10:30"
290,"TYPE T","OL/300.3","K","2024/10/25\9:10:31"
291,"TYPE T","OL/300.3","K","2024/10/25\9:10:31"
292,"TYPE T","OL/300.3","K","2024/10/25\9:10:32"
293,"TYPE T","OL/300.3","K","2024/10/25\9:10:32"
294,"TYPE T","OL/300.3","K","2024/10/25\9:10:33"
295,"TYPE T","OL/300.3","K","2024/10/25\9:10:33"
296,"TYPE T","OL/300.3","K","2024/10/25\9:10:34"
297,"TYPE T","OL/300.3","K","2024/10/25\9:10:35"
298,"TYPE T","OL/300.3","K","2024/10/25\9:10:35"
299,"TYPE T","OL/300.3","K","2024/10/25\9:10:36"
300,"TYPE T","OL/300.3","K","2024/10/25\9:10:36"
301,"TYPE T","OL/300.3","K","2024/10/25\9:10:37"
302,"TYPE T","OL/300.3","K","2024/10/25\9:10:38"
303,"TYPE T","OL/300.3","K","2024/10/25\9:10:38"
304,"TYPE T","OL/300.3","K","2024/10/25\9:10:39"
305,"TYPE T","OL/300.3","K","2024/10/25\9:10:39"
306,"TYPE T","OL/300.3","K","2024/10/25\9:10:40"
307,"TYPE T","OL/300.3","K","2024/10/25\9:10:41"
308,"TYPE T","OL/300.3","K","2024/10/25\9:10:41"
309,"TYPE T","OL/300.3","K","2024/10/25\9:10:42"
310,"TYPE T","OL/300.3","K","2024/10/25\9:10:42"
311,"TYPE T","OL/300.2","K","2024/10/25\9:10:43"
312,"TYPE T","OL/300.3","K","2024/10/25\9:10:44"
313,"TYPE T","OL/300.3","K","2024/10/25\9:10:44"
314,"TYPE T","OL/300.3","K","2024/10/25\9:10:45"
315,"TYPE T","OL/300.3","K","2024/10/25\9:10:45"
316,"TYPE T","OL/300.3","K","2024/10/25\9:10:46"
317,"TYPE T","OL/300.3","K","2024/10/25\9:10:46"
318,"TYPE T","OL/300.3","K","2024/10/25\9:10:47"
319,"TYPE T","OL/300.3","K","2024/10/25\9:10:48"
320,"TYPE T","OL/300.3","K","2024/10/25\9:10:48"
321,"TYPE T","OL/300.3","K","2024/10/25\9:10:49"
322,"TYPE T","OL/300.3","K","2024/10/25\9:10:49"
323,"TYPE T","OL/300.3","K","2024/10/25\9:10:50"
324,"TYPE T","OL/300.3","K","2024/10/25\9:10:51"
325,"TYPE T","OL/300.3","K","2024/10/25\9:10:51"
326,"TYPE T","OL/300.3","K","2024/10/25\9:10:52"
327,"TYPE T","OL/300.3","K","2024/10/25\9:10:52"
328,"TYPE T","OL/300.3","K","2024/10/25\9:10:53"
329,"TYPE T","OL/300.3","K","2024/10/25\9:10:54"
330,"TYPE T","OL/300.3","K","2024/10/25\9:10:54"
331,"TYPE T","OL/300.3","K","2024/10/25\9:10:55"
332,"TYPE T","OL/300.3","K","2024/10/25\9:10:55"
333,"TYPE T","OL/300.3","K","2024/10/25\9:10:56"
334,"TYPE T","OL/300.3","K","2024/10/25\9:10:57"
335,"TYPE T","OL/300.2","K","2024/10/25\9:10:57"
336,"TYPE T","OL/300.3","K","2024/10/25\9:10:58"
337,"TYPE T","OL/300.3","K","2024/10/25\9:10:58"
338,"TYPE T","OL/300.2","K","2024/10/25\9:10:59"
